,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
10,10,10,frère,brother
11,11,11,laisser,let
12,12,12,car,because
13,14,14,aucun,no
14,15,15,laisse,leash
15,16,16,eux,them
16,17,17,ville,city
17,18,18,chaque,each
18,19,19,parlé,speak
19,20,20,arrivé,come
20,21,21,devrait,should
21,22,22,bébé,baby
22,23,23,heures,hours
23,24,24,vont,will
24,25,25,pendant,while
25,26,26,revoir,meet again
26,27,27,aucune,any
27,28,28,place,square
28,29,29,parle,speak
29,30,30,compris,understood
30,31,31,savais,knew
31,32,32,étaient,were
32,33,33,attention,Warning
33,34,34,voici,here is
34,35,35,pourrais,could
35,36,36,affaire,case
36,37,37,donner,give
37,39,39,leurs,their
38,40,40,donné,given
39,41,41,train,train
40,42,42,corps,body
41,43,43,endroit,place
42,44,44,yeux,eyes
43,45,45,façon,way
44,46,46,écoute,listen
45,47,47,dont,whose
46,48,48,trouve,find
47,49,49,premier,first
48,50,50,perdu,lost
49,51,51,main,hand
50,52,52,première,first
51,53,53,côté,side
52,54,54,pouvoir,power
53,55,55,vieux,old
54,56,56,sois,be
55,58,58,matin,morning
56,59,59,tellement,so much
57,60,60,enfant,child
58,61,61,point,point
59,62,62,venu,came
60,63,63,suite,after
61,64,64,pardon,sorry
62,65,65,venez,come
63,66,66,devant,in front of
64,68,69,demandé,request
65,69,70,chambre,bedroom
66,70,71,mis,placed
67,71,72,belle,beautiful
68,73,74,aimerais,would like to
69,74,75,aujourd'hui,today
70,75,76,mari,husband
71,76,77,enfin,finally
72,77,78,espère,hope
73,78,79,eau,water
74,79,80,attendez,Wait
75,81,82,nouvelle,new
76,82,83,boulot,job
77,83,84,arrêter,Stop
78,84,86,terre,Earth
79,85,87,compte,account
80,86,88,donne,given
81,87,89,loin,far
82,88,90,fin,end
83,89,91,croire,believe
84,90,92,gros,large
85,91,93,plutôt,rather
86,92,94,aura,will have
87,93,95,filles,girls
88,94,96,jouer,to play
89,95,97,bureau,office
